   D1            ; 20 580   ; 20 964 ;  21 108 ; 21 372 ; 21 888 ;22 336
   D2            ; 22 272   ;        ;         ;        ;        ;
   D3            ; 23 652   ;        ;         ;        ;        ;
   D4            ; 24 960   ;        ;         ;        ;        ; 
   D5 (médiane)  ; 26 244   ; 26 820 ;  27 000 ; 27 216 ; 27 768 ;28 045
   D6            ; 27 636   ;        ;         ;        ;        ;
   D7            ; 29 160   ;        ;         ;        ;        ;
   D8            ; 30 984   ;        ;         ;        ;        ;
   D9            ; 33 804   ; 34 224 ; 34 344  ; 34 560 ; 35 304 ;36 460
 Moyenne         ; 26 940   ; 27 408 ; 27 588  ; 27 828 ; 28 428 ;28 925

