Annee;Mois;cout.nbi.anormale
2009;1;13,7
2009;1;22,8
2009;1;18,3
2009;1;18,3
2009;1;13,7
2009;2;13,7
2009;2;22,8
2009;2;18,3
2009;2;18,3
2009;2;13,7
2009;3;13,7
2009;3;45,7
2009;3;22,8
2009;3;18,3
2009;3;18,3
2009;3;13,6
2009;4;13,7
2009;4;22,8
2009;4;10,4
2009;4;18,3
2009;4;442,3
2009;4;424,6
2009;5;13,7
2009;5;22,8
2009;5;13,7
2009;5;18,3
2009;5;32
2009;5;13,7
2009;6;13,7
2009;6;228,5
2009;6;22,8
2009;6;13,7
2009;6;18,3
2009;6;31,6
2009;6;13,4
2009;7;13,8
2009;7;9,6
2009;7;205,9
2009;7;23
2009;7;13,8
2009;7;18,4
2009;7;32,2
2009;7;13,8
2009;8;13,8
2009;8;34,5
2009;8;13
2009;8;13,8
2009;8;18,4
2009;8;32,2
2009;8;13,8
2009;9;13,8
2009;9;34,5
2009;9;18,4
2009;9;13,8
2009;9;18,4
2009;9;21,4
2009;9;3800,4
2009;9;32,2
2009;9;2044,1
2009;9;13,8
2009;10;13,8
2009;10;34,6
2009;10;18,4
2009;10;13,8
2009;10;18,4
2009;10;137,8
2009;10;32,2
2009;10;13,8
2009;11;13,8
2009;11;34,6
2009;11;18,4
2009;11;13,8
2009;11;18,4
2009;11;32,2
2009;11;13,8
2009;12;13,8
2009;12;34,6
2009;12;18,4
2009;12;13,8
2009;12;18,4
2009;12;32,2
2009;12;13,8
2010;1;13,8
2010;1;34,6
2010;1;18,4
2010;1;13,8
2010;1;18,4
2010;1;83,6
2010;1;32,2
2010;1;13,8
2010;2;13,8
2010;2;34,6
2010;2;18,4
2010;2;13,8
2010;2;18,4
2010;2;23
2010;2;32,2
2010;2;13,8
2010;3;13,8
2010;3;34,6
2010;3;18,4
2010;3;13,8
2010;3;18,4
2010;3;12,3
2010;3;13,8
2010;4;13,8
2010;4;34,6
2010;4;18,4
2010;4;13,8
2010;4;18,4
2010;4;207,3
2010;4;12,6
2010;5;13,8
2010;5;34,6
2010;5;18,4
2010;5;18,4
2010;5;13,5
2010;6;13,8
2010;6;34,6
2010;6;18,4
2010;6;18,4
2010;6;13,4
2010;7;13,9
2010;7;34,7
2010;7;13,8
2010;8;13,9
2010;8;34,7
2010;8;13,9
2010;9;13,9
2010;9;34,7
2010;9;13,6
2010;10;13,7
2010;10;34,7
2010;10;163
2010;10;10,8
2010;10;77,6
2010;10;277,1
2010;10;13,7
2010;11;13,5
2010;11;34,7
2010;11;18
2010;11;13,9
2010;12;13,9
2010;12;34,7
2010;12;18,5
2010;12;13,9
2011;1;13,9
2011;1;34,7
2011;1;54
2011;1;18,5
2011;1;13,9
2011;2;13,9
2011;2;34,7
2011;2;69,4
2011;2;18,5
2011;2;20,3
2011;3;13,9
2011;3;34,7
2011;3;69,4
2011;3;36,3
2011;3;18,5
2011;4;13,9
2011;4;34,7
2011;4;69,4
2011;4;34,7
2011;4;18,5
2011;5;13,9
2011;5;34,7
2011;5;69,4
2011;5;104,2
2011;5;18,5
2011;6;13,9
2011;6;34,7
2011;6;69,4
2011;6;104,2
2011;6;1725,8
2011;6;18,5
2011;6;3628
2011;7;13,1
2011;7;14,1
2011;7;33,6
2011;7;67,9
2011;7;104,2
2011;7;17,8
2011;8;13,9
2011;8;34,7
2011;8;18,5
2011;8;104,2
2011;8;18,5
2011;9;13,9
2011;9;34,7
2011;9;18,5
2011;9;104,2
2011;9;18,5
2011;9;13,9
2011;10;13,9
2011;10;34,7
2011;10;18,5
2011;10;104,2
2011;10;44,8
2011;10;18,3
2011;10;13,5
2011;11;13,9
2011;11;34,7
2011;11;18,5
2011;11;21,6
2011;11;104,2
2011;11;18,5
2011;11;13,9
2011;12;13,9
2011;12;34,7
2011;12;18,5
2011;12;104,2
2011;12;18,5
2011;12;13,9
2012;1;13,9
2012;1;34,7
2012;1;104,2
2012;1;18,5
2012;1;13,9
2012;2;13,9
2012;2;34,7
2012;2;104,2
2012;2;18,5
2012;2;13,9
2012;3;13,9
2012;3;34,7
2012;3;104,2
2012;3;18,5
2012;3;13,9
2012;4;13,9
2012;4;34,7
2012;4;17
2012;4;10,8
2012;5;12,3
2012;5;30,9
2012;5;18,5
2012;5;13,9
2012;6;13,9
2012;6;34,7
2012;6;18,5
2012;6;13,9
2012;7;13,9
2012;7;34,7
2012;7;18,5
2012;7;13,9
2012;8;13,9
2012;8;34,7
2012;8;18,5
2012;8;50,9
2012;8;13,9
2012;9;13,9
2012;9;34,7
2012;9;18,5
2012;9;34,7
2012;10;13,9
2012;10;34,7
2012;10;18,5
2012;10;34,7
2012;11;13,9
2012;11;34,7
2012;11;18,5
2012;11;34,7
2012;12;13,9
2012;12;34,7
2012;12;18,5
2012;12;34,7
2013;1;13,9
2013;1;34,7
2013;1;252,5
2013;1;18,5
2013;1;34,7
2013;2;13,9
2013;2;34,7
2013;2;18,5
2013;2;34,7
2013;3;12,3
2013;3;34,7
2013;3;17
2013;3;34,7
2013;4;13,9
2013;4;34,7
2013;4;18,5
2013;4;34,7
2013;4;13,9
2013;5;13,9
2013;5;34,7
2013;5;18,5
2013;5;34,7
2013;5;13,9
2013;6;13,9
2013;6;30,9
2013;6;18,5
2013;6;34,7
2013;6;13,9
2013;7;13,9
2013;7;34,7
2013;7;18,5
2013;7;34,7
2013;7;13,9
2013;8;13,9
2013;8;34,7
2013;8;18,5
2013;8;34,7
2013;8;13,9
2013;9;13,9
2013;9;34,7
2013;9;18,5
2013;9;34,7
2013;9;13,6
2013;10;13,9
2013;10;34,7
2013;10;18,5
2013;10;34,7
2013;10;13,9
2013;11;13,9
2013;11;18,5
2013;11;13,9
2013;12;13,9
2013;12;34,7
2013;12;17
2013;12;34,7
