Matricule;Annee;Mois;SFT.versé
010782;2010;12;2,29
010782;2011;1;2,29
010782;2011;2;2,29
015191;2013;10;73,04
015191;2013;11;73,04
015191;2013;12;73,04
300111;2009;1;2,29
300111;2009;2;2,29
300111;2009;3;2,29
300111;2009;4;2,29
300111;2009;5;2,29
300111;2009;6;2,29
300111;2009;7;2,29
300111;2009;8;2,29
300111;2009;9;2,29
300111;2009;10;2,29
300111;2009;11;2,29
300111;2009;12;2,29
300111;2010;1;2,29
300111;2010;2;2,29
300111;2010;3;2,29
300111;2010;4;2,29
300111;2010;5;2,29
300111;2010;6;2,29
300111;2010;7;2,29
300111;2010;8;2,29
300111;2010;9;2,29
300111;2010;10;2,29
300111;2010;11;2,29
300111;2010;12;2,29
300111;2011;1;2,29
300111;2011;2;2,29
300111;2011;3;2,29
300111;2011;4;2,29
300111;2011;5;2,29
300111;2011;6;2,29
300111;2011;7;2,29
300111;2011;8;2,29
300111;2011;9;2,29
300111;2011;10;2,29
300111;2011;11;2,29
300111;2011;12;2,29
300111;2012;1;2,29
300111;2012;2;2,29
300111;2012;3;2,29
300111;2012;4;2,29
300111;2012;5;2,29
300111;2012;6;2,29
300111;2012;7;2,29
300111;2012;8;2,29
300111;2012;9;2,29
300111;2012;10;2,29
300111;2013;3;2,29
300111;2013;4;2,29
300111;2013;5;2,29
300111;2013;6;2,29
300111;2013;7;2,29
300111;2013;8;2,29
300111;2013;9;2,29
300111;2013;10;2,29
300111;2013;12;2,29
300141;2009;1;72,24
300141;2009;2;72,24
300141;2009;3;72,24
300141;2009;4;72,24
300141;2009;5;72,24
300141;2009;6;72,24
300141;2009;7;72,55
300141;2009;8;72,55
300141;2009;9;72,55
300141;2009;10;72,55
300141;2009;11;72,73
300141;2009;12;72,73
300141;2010;1;72,73
300141;2010;2;72,73
300141;2010;3;72,73
300141;2010;4;72,73
300141;2010;5;72,73
300141;2010;6;72,73
300141;2010;7;73,04
300141;2010;8;73,04
300141;2010;9;73,04
300141;2010;10;73,04
300141;2010;11;73,04
300141;2010;12;73,04
300141;2011;1;73,04
300141;2011;2;73,04
300141;2011;3;73,04
300141;2011;4;73,04
300141;2011;5;73,04
300141;2011;6;73,04
301371;2010;1;2,29
301371;2010;2;2,29
301371;2010;3;2,29
301371;2010;4;2,29
301371;2010;5;2,29
301371;2010;6;2,29
301371;2010;7;2,29
301371;2010;8;2,29
301371;2010;9;2,29
301371;2010;10;2,29
301371;2010;11;2,29
301371;2010;12;2,29
301371;2011;1;2,29
301371;2011;2;2,29
301371;2011;3;2,29
301371;2011;4;2,29
301371;2011;5;2,29
301371;2011;6;2,29
301371;2011;7;2,29
301371;2011;8;2,29
301371;2011;9;2,29
301371;2011;10;2,29
301371;2011;11;2,29
301371;2011;12;2,29
301371;2012;1;2,29
301371;2012;2;2,29
301371;2012;3;2,29
301371;2012;4;2,29
301371;2012;5;2,29
301371;2012;6;2,29
301371;2012;7;2,29
301371;2012;8;2,29
301371;2012;9;2,29
301371;2012;10;2,29
301371;2012;11;2,29
301371;2012;12;2,29
301371;2013;1;2,29
301371;2013;2;2,29
301371;2013;3;2,29
301371;2013;4;2,29
301371;2013;5;2,29
301371;2013;6;2,29
301371;2013;7;2,29
301371;2013;8;2,29
301371;2013;9;2,29
301371;2013;10;2,29
301371;2013;11;2,29
301371;2013;12;2,29
301372;2010;2;309,43
301372;2010;3;309,43
301372;2010;4;309,43
301372;2010;5;309,43
301372;2010;6;309,43
301372;2010;7;310,88
301372;2010;8;310,88
301372;2010;9;310,88
301372;2010;10;310,88
301372;2010;11;310,88
301372;2010;12;310,88
301372;2011;1;310,88
301372;2011;2;310,88
301372;2011;3;310,88
301372;2011;4;310,88
301372;2011;5;310,88
301372;2011;6;310,88
301372;2011;7;310,88
301372;2011;8;310,88
301372;2011;9;310,88
301372;2011;10;310,88
301372;2011;11;310,88
301372;2011;12;310,88
301372;2012;1;310,88
301372;2012;2;310,88
301372;2012;3;310,88
301372;2012;4;310,88
301372;2012;5;310,88
301372;2012;6;310,88
301372;2012;7;310,88
301372;2012;8;310,88
301372;2012;9;310,88
301372;2012;10;310,88
301372;2012;11;310,88
301372;2012;12;310,88
301372;2013;1;310,88
301372;2013;2;310,88
301372;2013;3;310,88
301372;2013;4;310,88
301372;2013;5;310,88
301372;2013;6;310,88
301372;2013;7;310,88
301372;2013;8;310,88
301372;2013;9;310,88
301372;2013;10;310,88
301372;2013;11;310,88
301372;2013;12;310,88
302700;2013;12;181,57
